,profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match,last_match_time
0,199325,1,2576,76561198449406083,,[aM] Hera,,CA,2585,2640,-1,-6,36,2999,2079,920,16,1655934375,1655934375
1,199170,2,2566,76561197992981071,,dogao,,BR,2561,2566,12,-5,32,1473,1100,373,16,1655928753,1655928753
2,208393,3,2564,76561198027378107,,[aM] Nicov,,AR,2557,2582,5,-4,22,1313,959,354,8,1656414076,1656414076
3,271202,4,2557,76561198000635167,,SalzZ_Vinchester,,RU,2554,2568,10,-6,18,1222,832,390,6,1655820953,1655820953
4,347269,5,2545,76561198364718180,,ACCM |AOEbuilds.com,,VN,2541,2560,6,-7,25,2946,2018,928,40,1656402092,1656402092
5,251265,6,2541,76561197996386232,,[aM]_MbL40C_,,NO,2549,2604,-1,-9,23,3300,2349,951,88,1656370364,1656370364
6,666976,7,2531,76561198275359848,,_Barles_,,PL,2523,2537,2,-7,12,2162,1350,812,9,1656431124,1656431124
7,196240,8,2526,76561197984749679,,GL.TheViper,,NO,2522,2545,1,-9,22,1294,853,441,3,1656451682,1656451682
8,208611,9,2526,76561198325239137,,Villese,,FI,2520,2584,5,-7,19,2392,1575,817,4,1656435694,1656435694
9,212721,10,2525,76561198116921964,,mYi.Sitaux,FrCo,FR,2519,2590,6,-5,29,773,534,239,6,1655610532,1655610532
10,197388,11,2519,76561198088251629,,GL.TaToH,TaToH,ES,2572,2586,4,-6,32,821,590,231,4,1654523188,1654523188
11,254415,12,2515,76561198011417995,,Modri,,SI,2507,2533,1,-8,12,840,530,310,9,1656085997,1656085997
12,1862892,13,2504,76561199032160044,,Modri,,SI,2501,2537,1,-6,24,526,330,196,1,1656363579,1656363579
13,506898,14,2486,76561198362219694,,[aM] Liereyy,,AT,2494,2527,-1,-6,16,871,592,279,9,1656243544,1656243544
14,582058,15,2477,76561198032611326,,[aM] Hearttt,,PE,2475,2494,4,-7,14,1663,999,664,17,1655260848,1655260848
15,1754629,16,2476,76561198807828662,,SalzZ_classicpro,,UA,2468,2530,2,-8,22,1395,858,537,5,1656361141,1656361141
16,409748,17,2472,76561198099659716,,Capoch,,AR,2480,2522,-1,-6,13,1209,735,474,11,1656361141,1656361141
17,716717,18,2455,76561198367310298,,_Ares_StrayDog,AreS,CN,2449,2455,4,-9,12,1680,983,697,23,1656328210,1656328210
18,197964,19,2455,76561198179087382,,_WWP_Yo,WWP,CN,2461,2556,-3,-7,11,1655,1045,610,17,1656435694,1656435694
19,2858362,20,2438,76561198400058723,,GL.JorDan_AoE,,DE,2432,2574,5,-10,27,1389,800,589,12,1656436609,1656436609
20,213305,21,2436,76561198152110843,,mYi.PROject_Belgium,,BE,2428,2485,3,-9,19,3434,2018,1416,12,1656237869,1656237869
21,196310,22,2433,76561198275970890,,[KGB] F1Re,1KGB1,BR,2423,2508,1,-8,28,2097,1525,572,12,1656418407,1656418407
22,614315,23,2424,76561198135964589,,GL.slam,,CA,2433,2517,-3,-8,14,3378,2022,1356,17,1656399647,1656399647
23,312938,24,2424,76561198272641645,,BacT,,VN,2434,2505,-1,-8,15,2581,1669,912,15,1655299537,1655299537
24,9473909,25,2420,76561199240324201,,Kalashnicov,,AR,2468,2526,1,-7,60,241,182,59,1,1654098046,1654098046
25,4620061,26,2415,76561199124381546,,Phantom,,DE,2410,2440,10,-6,27,1590,986,604,7,1656368561,1656368561
26,357795,27,2415,76561198367209710,,CL.DracKeN,C1own,CZ,2405,2464,2,-13,15,6325,3509,2816,59,1656450741,1656450741
27,628503,28,2413,76561198036586732,,Valas,,FI,2407,2515,3,-7,16,1565,902,663,2,1656344904,1656344904
28,182749,29,2406,76561198131139989,,The_Dragonstar,,IN,2400,2453,1,-9,15,1837,1101,736,41,1656022150,1656022150
29,2090225,30,2398,76561198242526658,,miguel,,BR,2407,2486,-1,-10,22,2071,1185,886,12,1656446113,1656446113
30,3230529,31,2395,76561198098401046,,IamChris,,CA,2406,2434,-2,-13,24,965,568,397,9,1656041207,1656041207
31,198035,32,2391,76561198044559189,,GL.DauT,DauT,RS,2382,2477,2,-9,30,1817,1075,742,15,1656118944,1656118944
32,419803,33,2391,76561198419918984,,saymyname,,VN,2377,2435,1,-7,16,2427,1528,899,62,1656396632,1656396632
